Country,United States,Germany,China,Japan,Korea,Italy,France,Spain,Portugal ,Russia,Bosnia,Serbia ,Croatia 
Language,English,German,Mandarin,Japanese,Korean,Italian,French,Spanish,Portuguese,Russian,Bosnian,Serbian,Coatian
Locale 2 Letter code,US,DE,CN,JP,KR,IT,FR,ES,PT,RU,BA,RS,HR
Locale 4 Letter code,en-US,de-DE,zh-CN,jp-JP,ko-KR,it-IT,fr-FR,es-ES,pt-PT,ru-RU,bs-BA,sr-RS,hr-HR
String ID,,,,,,,,,,,,,
languageswitcher.selectorText,Site Language:,Seitensprache:,网站语言：,サイトの言語:,사이트 언어:,Lingua del sito:,Langue du site:,Idioma del sitio:,Idioma do Site:,Язык сайта:,Jezik stranice:,Jezik sajta:,Jezik stranice:
languageswitcher.languages.us,English,Englisch,英语,英語,영어,Inglese,Anglais,Inglés,Inglês,Английский,Engleski,Engleski,Engleski
languageswitcher.languages.de,German,Deutsch,德语,ドイツ語,독일어,Tedesco,Allemand,Alemán,Alemão,Немецкий,Njemački,Nemački,Njemački
languageswitcher.languages.cn,Chinese,Chinesisch,中文,中国語,중국어,Cinese,Chinois,Chino,Chinês,Китайский,Kineski,Kineski,Kineski
languageswitcher.languages.jp,Japanese,Japanisch,日语,日本語,일본어,Giapponese,Japonais,Japonés,Japonês,Японский,Japanski,Japanski,Japanski
languageswitcher.languages.kr,Korean,Koreanisch,韩语,韓国語,한국어,Coreano,Coréen,Coreano,Coreano,Корейский,Korejski,Korejski,Korejski
languageswitcher.languages.it,Italian,Italienisch,意大利语,イタリア語,이탈리아어,Italiano,Italien,Italiano,Italiano,Итальянский,Italijanski,Italijanski,Talijanski
languageswitcher.languages.fr,French,Französisch,法语,フランス語,프랑스어,Francese,Français,Francés,Francês,Французский,Francuski,Francuski,Francuski
languageswitcher.languages.es,Spanish,Spanisch,西班牙语,スペイン語,스페인어,Spagnolo,Espagnol,Español,Espanhol,Испанский,Španski,Španski,Španjolski
languageswitcher.languages.pt,Portuguese,Portugiesisch,葡萄牙语,ポルトガル語,포르투갈어,Portoghese,Portugais,Portugués,Português,Португальский,Portugalski,Portugalski,Portugalski
languageswitcher.languages.ru,Russian,Russisch,俄语,ロシア語,러시아어,Russo,Russe,Ruso,Russo,Русский,Ruski,Ruski,Ruski
languageswitcher.languages.ba,Bosnian,Bosnisch,波斯尼亚语,ボスニア語,보스니아어,Bosniaco,Bosnien,Bosnio,Bósnio,Боснийский,Bosanski,Bosanski,Bosanski
languageswitcher.languages.rs,Serbian,Serbisch,塞尔维亚语,セルビア語,세르비아어,Serbo,Serbe,Serbio,Sérvio,Сербский,Srpski,Srpski,Srpski
languageswitcher.languages.hr,Croatian,Kroatisch,克罗地亚语,クロアチア語,크로아티아어,Croato,Croate,Croata,Croata,Хорватский,Hrvatski,Hrvatski,Hrvatski
errorPage.heading,Sorry,Entschuldigung,非常抱歉,申し訳ありません,죄송합니다,Spiacenti,Désolé,Lo sentimos,Desculpe,Извините,Žao nam je,Izvinjavamo se,Oprostite
